target_id	length	eff_length	est_counts	tpm
PF3D7_0203300.1	1058	1059	3242.22	147.943
PF3D7_0203400.1	1814	1815	17101.2	455.301
PF3D7_0203500.1	72	73	26	17.2107
PF3D7_0203600.1	2648	2649	1487.42	27.1332
PF3D7_0203700.1	2053	2054	4588.92	107.959
PF3D7_0203800.1	2199	2200	1447.21	31.7875
PF3D7_0203900.1	2368	2369	1374	28.0266
PF3D7_0204000.1	2809	2810	6175.09	106.19
PF3D7_0204100.1	8129	8130	11282.9	67.0621
PF3D7_0204200.1	943	944	48103	2462.34
PF3D7_0204300.1	2880	2881	1440.66	24.1639
PF3D7_0204400.1	390	391	0	0
PF3D7_0204500.1	1261	1262	16816	643.89
PF3D7_0204600.1	4566	4567	2118.69	22.4174
PF3D7_0204700.1	2642	2643	62891	1149.85
PF3D7_0204800.1	1881	1882	1457.67	37.4273
PF3D7_0204900.1	1354	1355	7885	281.197
PF3D7_0205000.1	2043	2044	1814.19	42.8894
PF3D7_0205100.1	2613	2614	722.107	13.3489
PF3D7_0205200.1	591	592	132	10.7746
PF3D7_0205300.1	1851	1852	577	15.0551
PF3D7_0205400.1	2395	2396	4741.52	95.6267
PF3D7_0205500.1	942	943	76.4897	3.91958
PF3D7_0205600.1	2828	2829	819.006	13.9895
PF3D7_0205700.1	987	988	8360.2	408.892
PF3D7_0205700.2	669	670	299.252	21.583
PF3D7_0205800.1	892	893	7064	382.25
PF3D7_0205900.1	3985	3986	39673.3	480.961
PF3D7_0206000.1	5459	5460	3583.46	31.7145
PF3D7_0206100.1	3277	3278	5154.46	75.9841
PF3D7_0206200.1	2642	2643	4695.53	85.849
PF3D7_0206300.1	9201	9202	9428.64	49.5125
PF3D7_0206500.1	5277	5278	2067.48	18.9287
PF3D7_0206600.1	2239	2240	2680.19	57.8183
PF3D7_0206700.1	3338	3339	858.494	12.4242
PF3D7_0206800.1	3342	3343	16202	234.197
PF3D7_0206900.1	1631	1632	66822.1	1978.56
PF3D7_0206900.2	1515	1516	645.417	20.5726
PF3D7_0207000.1	2390	2391	17237.3	348.368
PF3D7_0207100.1	6221	6222	21961.3	170.559
PF3D7_0207200.1	1519	1520	6595.76	209.686
PF3D7_0207300.1	2040	2041	70	1.65731
PF3D7_0207400.1	3582	3583	6783.86	91.4909
PF3D7_0207500.1	3869	3870	25237.5	315.125
PF3D7_0207600.1	3527	3528	62696.9	858.747
PF3D7_0207700.1	3301	3302	3049.08	44.621
PF3D7_0207800.1	3455	3456	5401.85	75.5295
PF3D7_0207900.1	3734	3735	1195.47	15.4666
PF3D7_0208000.1	3661	3662	12671.4	167.207
PF3D7_0208100.1	6090	6091	28855.6	228.924
PF3D7_0208200.1	1580	1581	1747	53.3961
PF3D7_0208300.1	5914	5915	3635.5	29.7001
PF3D7_0208400.1	9059	9060	8533.84	45.5161
PF3D7_0208500.1	2015	2016	4515.42	108.232
PF3D7_0208600.1	2108	2109	11146	255.381
PF3D7_0208700.1	995	996	12887.1	625.238
PF3D7_0208800.1	2003	2004	10967	264.447
PF3D7_0208900.1	7527	7528	316	2.02841
PF3D7_0209000.1	10806	10807	1101.21	4.92396
PF3D7_0209100.1	3035	3036	1240.52	19.7447
PF3D7_0209200.1	1469	1470	1944	63.9039
PF3D7_0209300.1	1151	1152	4597	192.828
PF3D7_0209400.1	2057	2058	1700.15	39.9199
PF3D7_0209500.1	1650	1651	2601.01	76.1278
PF3D7_0209600.1	4208	4209	3804.63	43.6799
PF3D7_0209700.1	2678	2679	1929.01	34.7945
PF3D7_0209800.1	2911	2912	2502.47	41.5265
PF3D7_0209900.1	539	540	160.186	14.3344
PF3D7_0210000.1	1217	1218	3833.22	152.077
PF3D7_0210100.1	1251	1252	15073	581.759
PF3D7_0210100.2	108	109	1.01546	0.45018
PF3D7_0210200.1	8821	8822	9823.27	53.8068
PF3D7_0210300.1	2325	2326	513.465	10.6672
PF3D7_0210400.1	1061	1062	3299.36	150.125
PF3D7_0210500.1	4451	4452	5181	56.235
PF3D7_0210600.1	1811	1812	314333	8382.63
PF3D7_0210700.1	1189	1190	1430	58.0681
PF3D7_0210800.1	2367	2368	575.665	11.7472
PF3D7_0210900.1	2190	2191	827	18.2394
PF3D7_0211000.1	785	786	115	7.07007
PF3D7_0211100.1	3842	3843	815.249	10.2511
PF3D7_0211200.1	1636	1637	725.044	21.4025
PF3D7_0211300.1	1133	1134	1584	67.4979
PF3D7_0211400.1	1378	1379	798	27.9632
PF3D7_0211500.1	4206	4207	3436.02	39.4668
PF3D7_0211600.1	837	838	4876	281.169
PF3D7_0211700.1	4760	4761	2571.08	26.0955
PF3D7_0211800.1	2510	2511	5475.6	105.374
PF3D7_0211900.1	2321	2322	22349.1	465.101
PF3D7_0212000.1	1775	1776	32687.7	889.386
PF3D7_0212100.1	6381	6382	8729	66.0931
PF3D7_0212200.1	1907	1908	364.401	9.22889
PF3D7_0212300.1	3059	3060	7616.12	120.271
PF3D7_0212400.1	13149	13150	9146.63	33.6112
PF3D7_0212500.1	12856	12857	14935.3	56.1336
PF3D7_0212600.1	1751	1752	49069	1353.38
PF3D7_0212700.1	1598	1599	783.448	23.6761
PF3D7_0212800.1	5537	5538	2795.28	24.3905
PF3D7_0212900.1	2657	2658	1327.32	24.1307
PF3D7_0213000.1	2287	2288	2952.07	62.3475
PF3D7_0213100.1	2165	2166	12618.8	281.52
PF3D7_0213200.1	1077	1078	7790.24	349.205
PF3D7_0213300.1	798	799	464.31	28.0808
PF3D7_0213400.1	2440	2441	1806.19	35.7555
PF3D7_0213500.1	1807	1808	1134	30.3084
PF3D7_0213600.1	7257	7258	2688	17.8962
PF3D7_0213700.1	1293	1294	177.569	6.63103
PF3D7_0213800.1	2010	2011	273	6.55992
PF3D7_0213900.1	4524	4525	808.599	8.63501
PF3D7_0214000.1	2705	2706	9018.83	161.054
PF3D7_0214100.1	5277	5278	3620.4	33.1463
PF3D7_0214200.1	1363	1364	43.0133	1.52383
PF3D7_0214300.1	9270	9271	2152.2	11.2177
PF3D7_0214400.1	2497	2498	1271.36	24.5937
PF3D7_0214500.1	1643	1644	1128.08	33.1578
PF3D7_0214600.1	6526	6527	36774.6	272.259
PF3D7_0214700.1	1338	1339	8147.3	294.023
PF3D7_0214800.1	6448	6449	9070.4	67.9645
PF3D7_0214900.1	4488	4489	15126.4	162.83
PF3D7_0215000.1	5880	5881	7974.53	65.5243
PF3D7_0215100.1	2039	2040	1851.84	43.8654
PF3D7_0215200.1	2629	2630	615.905	11.3164
PF3D7_0215300.1	4591	4592	4618.13	48.5973
PF3D7_0215400.1	4979	4980	8638.51	83.8219
PF3D7_0215500.1	3565	3566	1443.4	19.5593
PF3D7_0215600.1	2096	2097	4003.07	92.2451
PF3D7_0215700.1	4959	4960	1922.73	18.732
PF3D7_0215800.1	3222	3223	4594.58	68.8864
PF3D7_0215900.1	783	784	372	22.9285
PF3D7_0216000.1	6965	6966	1887.14	13.0909
PF3D7_0216100.1	3728	3729	759.841	9.84642
PF3D7_0216200.1	1141	1142	2808.92	118.856
PF3D7_0216300.1	4886	4887	1307.18	12.9253
PF3D7_0216400.1	2643	2644	5031.26	91.9525
PF3D7_0216500.1	6691	6692	23519.5	169.833
PF3D7_0216600.1	3908	3909	1293.19	15.9862
PF3D7_0216700.1	5126	5127	19202.7	180.987
PF3D7_0216700.2	4134	4135	3066.18	35.832
PF3D7_0216800.1	3717	3718	5893.63	76.5988
PF3D7_0216900.1	1650	1651	356	10.4196
PF3D7_0217000.1	3236	3237	738.08	11.0182
PF3D7_0217100.1	2463	2464	33029.1	647.746
PF3D7_0217200.1	6134	6135	652.173	5.13685
PF3D7_0217300.1	615	616	179.455	14.0774
PF3D7_0217400.1	1808	1809	2308	61.6518
PF3D7_0217500.1	3702	3703	29701	387.584
PF3D7_0217600.1	6404	6405	5606.07	42.2948
PF3D7_0217700.1	1643	1644	588.433	17.2959
PF3D7_0217800.1	1005	1006	15060.6	723.425
PF3D7_0217900.1	3160	3161	31087.7	475.239
PF3D7_0218000.1	1704	1705	4384.19	124.255
PF3D7_0218100.1	1514	1515	40321	1286.08
PF3D7_0218200.1	4072	4073	1733.71	20.5688
PF3D7_0218300.1	1549	1550	12628.5	393.703
PF3D7_0218400.1	2024	2025	3336	79.6066
PF3D7_0218500.1	2328	2329	2784.82	57.7798
PF3D7_0218600.1	8372	8373	6172.74	35.6242
PF3D7_0218700.1	2425	2426	2320.12	46.2135
PF3D7_0218800.1	626	627	4123.27	317.777
PF3D7_0218900.1	160	161	5	1.50069
PF3D7_0219000.1	82	83	215	125.172
PF3D7_0219100.1	1933	1934	2846.08	71.1115
PF3D7_0219200.1	1224	1225	1327.03	52.3469
PF3D7_0219300.1	1021	1022	267.683	12.6567
PF3D7_0219400.1	1476	1477	6051.16	197.973
PF3D7_0219500.1	1840	1841	11447.9	300.483
PF3D7_0219600.1	3629	3630	1656.19	22.0471
PF3D7_0219700.1	1429	1430	2869	96.9489
PF3D7_0219800.1	4046	4047	1880.27	22.451
PF3D7_0219900.1	1818	1819	1201.45	31.9169
PF3D7_0220000.1	6846	6847	37431.7	264.172
PF3D7_0220100.1	4200	4201	2050.35	23.5843
PF3D7_0220200.1	3378	3379	5031.73	71.9577
PF3D7_0220300.1	2773	2774	2400.11	41.8093
PF3D7_0220400.1	2010	2011	188	4.51746
PF3D7_0220500.1	2072	2073	1707.8	39.8094
PF3D7_0220600.1	2774	2775	3069.27	53.4466
PF3D7_0220700.1	1783	1784	19702.9	533.683
PF3D7_0220800.1	5124	5125	18556	174.96
PF3D7_0220900.1	609	610	30	2.37651
PF3D7_0221000.1	909	910	0	0
PF3D7_0221100.1	783	784	167	10.2932
PF3D7_0221200.1	2557	2558	543	10.2576
PF3D7_0221300.1	1104	1105	30	1.31192
PF3D7_0221400.1	924	925	23	1.20153
PF3D7_0221500.1	678	679	178.08	12.6734
PF3D7_0221600.1	621	622	5	0.388444
PF3D7_0221650.1	663	664	8	0.582197
PF3D7_0221700.1	2760	2761	164.769	2.88376
PF3D7_0221800.1	1961	1962	104.085	2.56353
PF3D7_0221900.1	1257	1258	2.2873	0.0878601
PF3D7_0222000.1	849	850	4.73217	0.269023
PF3D7_0222100.1	1236	1237	959.259	37.4726
PF3D7_0222200.1	693	694	0	0
PF3D7_0222300.1	861	862	0	0
PF3D7_0222400.1	1080	1081	34.6974	1.55103
PF3D7_0222500.1	951	952	0	0
PF3D7_0222600.1	1107	1108	0	0
PF3D7_0222700.1	1047	1048	0	0
PF3D7_0222800.1	915	916	0	0
PF3D7_0222900.1	1356	1357	1.6843	0.0599776
PF3D7_0223100.1	993	994	4.06717	0.197721
PF3D7_0223200.1	1038	1039	0	0
PF3D7_0223300.1	1296	1297	2.33535	0.0870083
PF3D7_0223400.1	984	985	48.6595	2.38715
PF3D7_0223500.1	6534	6535	430.381	3.18241
PF3D7_0300100.1	6630	6631	218.047	1.58899
PF3D7_0300200.1	981	982	107.509	5.29029
PF3D7_0300300.1	1377	1378	0	0
PF3D7_0300400.1	891	892	1.51971	0.0823276
PF3D7_0300500.1	1080	1081	17.5727	0.785528
PF3D7_0300600.1	213	214	2.26867	0.512278
PF3D7_0300700.1	1107	1108	5	0.218061
PF3D7_0300800.1	966	967	11.5467	0.577006
PF3D7_0300900.1	788	789	49	3.00101
PF3D7_0301000.1	2460	2461	37.399	0.734339
PF3D7_0301100.1	771	772	24	1.50225
PF3D7_0301200.1	2764	2765	775.104	13.5461
PF3D7_0301300.1	2161	2162	634	14.1704
PF3D7_0301400.1	1295	1296	8402	313.275
PF3D7_0301500.1	3315	3316	616.017	8.97689
PF3D7_0301600.1	2939	2940	3273.39	53.802
PF3D7_0301700.1	3514	3515	15928.5	218.977
PF3D7_0301800.1	2448	2449	2064.98	40.745
PF3D7_0301900.1	2068	2069	665.041	15.5323
PF3D7_0302000.1	2571	2572	580	10.897
PF3D7_0302100.1	6706	6707	5999.32	43.2237
PF3D7_0302200.1	4800	4801	83157.8	836.989
PF3D7_0302300.1	4173	4174	133	1.53974
PF3D7_0302400.1	1171	1172	889	36.6541
PF3D7_0302500.1	5711	5712	506033	4280.94
PF3D7_0302600.1	4821	4822	4313.98	43.2313
PF3D7_0302700.1	993	994	934.612	45.4353
PF3D7_0302800.1	2625	2626	213.196	3.92314
PF3D7_0302900.1	6002	6003	4104.5	33.04
PF3D7_0303000.1	2426	2427	648	12.9019
PF3D7_0303100.1	6601	6602	4927.62	36.067
PF3D7_0303200.1	4918	4919	63129.5	620.16
PF3D7_0303300.1	2101	2102	1916.49	44.0576
PF3D7_0303400.1	3451	3452	1487	20.8156
PF3D7_0303500.1	7158	7159	4801.02	32.4063
PF3D7_0303600.1	1135	1136	111.063	4.72432
PF3D7_0303700.1	1905	1906	2071.11	52.5084
PF3D7_0303800.1	2994	2995	934.358	15.0753
PF3D7_0303900.1	757	758	109.011	6.94943
PF3D7_0304000.1	2586	2587	783	14.6256
PF3D7_0304100.1	3078	3079	10412.1	163.409
PF3D7_0304200.1	2349	2350	31482	647.356
PF3D7_0304300.1	5052	5053	1042.02	9.96497
PF3D7_0304400.1	1700	1701	11603.3	329.63
PF3D7_0304500.1	1326	1327	7187.25	261.722
PF3D7_0304600.1	2034	2035	1391	33.0302
PF3D7_0304700.1	1419	1420	700	23.8209
PF3D7_0304800.1	4734	4735	13790.9	140.742
PF3D7_0304900.1	1299	1300	2190.45	81.4214
PF3D7_0305000.1	1737	1738	10753	298.969
PF3D7_0305100.1	11937	11938	5264.86	21.311
PF3D7_0305200.1	4991	4992	7623.8	73.7981
PF3D7_0305300.1	4039	4040	9735.3	116.444
PF3D7_0305400.1	1098	1099	1017.09	44.7209
PF3D7_0305500.1	12811	12812	12573.5	47.4228
PF3D7_0305600.1	3382	3383	4033.37	57.6122
PF3D7_0305700.1	1374	1375	8818.98	309.93
PF3D7_0305800.1	3345	3346	701	10.1237
PF3D7_0305900.1	864	865	916.335	51.1902
PF3D7_0306000.1	1105	1106	225	9.8305
PF3D7_0306100.1	3154	3155	1355.47	20.7605
PF3D7_0306200.1	2534	2535	2154.93	41.0775
PF3D7_0306300.1	2556	2557	9289.2	175.548
PF3D7_0306400.1	3391	3392	801.805	11.4225
PF3D7_0306500.1	1735	1736	238.936	6.65088
PF3D7_0306600.1	923	924	488.321	25.5377
PF3D7_0306700.1	1854	1855	2499.59	65.1137
PF3D7_0306800.1	2423	2424	57008.9	1136.47
PF3D7_0306900.1	2195	2196	14697.4	323.412
PF3D7_0307000.1	160	161	25	7.50347
PF3D7_0307100.1	1166	1167	6411.49	265.483
PF3D7_0307200.1	1635	1636	39327	1161.6
PF3D7_0307300.1	1533	1534	819	25.7992
PF3D7_0307400.1	1588	1589	30691	933.331
PF3D7_0307500.1	2075	2076	2885.47	67.1642
PF3D7_0307600.1	2775	2776	2802.37	48.7813
PF3D7_0307700.1	6642	6643	11276.9	82.0305
PF3D7_0307800.1	3717	3718	4577.17	59.4889
PF3D7_0307900.1	12097	12098	5772.18	23.0555
PF3D7_0308000.1	2516	2517	42314.4	812.369
PF3D7_0308100.1	6070	6071	8145.06	64.831
PF3D7_0308200.1	3236	3237	13577.6	202.688
PF3D7_0308300.1	1772	1773	3431.24	93.5169
PF3D7_0308400.1	119	120	125	50.3358
PF3D7_0308500.1	1440	1441	9437.69	316.483
PF3D7_0308600.1	2979	2980	7025.47	113.922
PF3D7_0308700.1	2232	2233	23877.4	516.71
PF3D7_0308800.1	938	939	103.002	5.30065
PF3D7_0308900.1	4826	4827	3550.82	35.5467
PF3D7_0309000.1	2659	2660	259.664	4.71714
PF3D7_0309100.1	844	845	344.362	19.6928
PF3D7_0309200.1	6962	6963	7318.18	50.7873
PF3D7_0309300.1	3836	3837	212.016	2.67009
PF3D7_0309400.1	119	120	1	0.402686
PF3D7_0309500.1	3297	3298	6540.11	95.8258
PF3D7_0309600.1	1767	1768	47646.7	1302.26
PF3D7_0309700.1	1827	1828	1270	33.5719
PF3D7_0309800.1	1699	1700	1786.23	50.7735
PF3D7_0309900.1	5352	5353	6708	60.5542
PF3D7_0310000.1	1236	1237	12006.7	469.033
PF3D7_0310100.1	1689	1690	774	22.1311
PF3D7_0310200.1	14855	14856	28639.7	93.1569
PF3D7_0310300.1	5411	5412	2198.97	19.6341
PF3D7_0310400.1	4085	4086	34961.1	413.461
PF3D7_0310500.1	7935	7936	6689.4	40.7318
PF3D7_0310600.1	1540	1541	1239.01	38.8527
PF3D7_0310700.1	1014	1015	3725.64	177.371
PF3D7_0310800.1	535	536	46.4081	4.18386
PF3D7_0310900.1	2813	2814	525.029	9.01586
PF3D7_0311000.1	618	619	64	4.99617
PF3D7_0311100.1	2704	2705	3502.24	62.5643
PF3D7_0311200.1	5341	5342	9892.06	89.481
PF3D7_0311300.1	5901	5902	8281.78	67.8068
PF3D7_0311400.1	8499	8500	2733.64	15.5407
PF3D7_0311500.1	1482	1483	178.396	5.81288
PF3D7_0311600.1	2918	2919	2607.02	43.1577
PF3D7_0311700.1	1386	1387	1046	36.4421
PF3D7_0311800.1	2404	2405	18342	368.535
PF3D7_0311900.1	2562	2563	149.663	2.82172
PF3D7_0312000.1	676	677	704.881	50.3125
PF3D7_0312100.1	3811	3812	5565.91	70.5557
PF3D7_0312200.1	4076	4077	1220.49	14.4658
PF3D7_0312300.1	1175	1176	11444.7	470.266
PF3D7_0312400.1	4102	4103	12256.5	144.349
PF3D7_0312500.1	2710	2711	582.7	10.3864
PF3D7_0312600.1	77	78	234	144.967
PF3D7_0312700.1	76	77	24	15.0615
PF3D7_0312800.1	1256	1257	119093	4578.23
PF3D7_0312900.1	927	928	1400	72.9001
PF3D7_0313000.1	1330	1331	1226.7	44.5356
PF3D7_0313100.1	3298	3299	10527.3	154.2
PF3D7_0313200.1	933	934	704.825	36.4655
